,title,label
0,위메이드 위믹스 이더리움 기반 거래소 유니스왑 유동성 공급,0
1,비트코인 3000만원 밑돌며 주춤이더리움은 속도,-1
2,가상화폐 시세 이더리움 상승세 계속 앞으로 전망은,1
3,가상화폐 시세 비트코인 2800만원선 위태도지코인 82원선 이더리움 180만,0
4,순조로운 이더리움 어디까지 가나,0
5,비탈릭 이더리움 머지 ETH 가격에 반영되려면 68개월 걸릴 것,0
6,이더리움 테스트넷 내달 4일부터 두번에 걸쳐 진행,0
7,마이클 세일러 비트코인은 암호화폐이더리움 유가증권,0
8,28일 9시 비트코인 3020원선 633↑이더리움 215만원 1123↑,1
9,이더리움 시장 점유율 한 달간 4 상승 이유는,1
10,종합 이더리움 메인넷 10번째 섀도우 포크 완료마지막 메인넷 포크 아,0
11,지난 한시간 트위터 언급 횟수 이더리움비트코인리플 順,0
12,코인 시황 비트코인 2만2000달러 돌파이더리움도 15↑,1
13,비트코인 3000만원대 회복리플이더리움 알트코인 강세,1
14,게임에서 영감 얻은 소울바운드 토큰’ 제시한 이더리움 창시자비트코인A ,0
15,28일 기준지난 24시간 거래량 순위 테더비트코인리플이더리움 順,0
16,27일 9시 비트코인 2840원선 053↓이더리움 193만원 008↓,0
17,가상화폐 시황 FOMC 소화 비트코인이더리움 일제히 상승솔라나 10↑,1
18,이더리움 POS 전환시 이더리움 클래식은 작업증명 POW의 훌륭한 옵션,0
19,비트코인 울고 이더리움 웃고1위 가상자산 세대교체되나,1
20,비트코인 3025만원대 상승이더리움 251만원대,1
21,비트코인 FOMC 리스크 해소에 상승장이더리움클래식 열흘만에 두배,1
22,머지發 이더리움 랠리 잠시 멈춤ETH 차익실현에 하락,0
23,美 FOMC 앞두고 가상자산 약세이더리움 10대 급락,-1
24,비트코인 2800만원 이더리움 198만원폭풍전야,0
25,?특징주 드래곤플라이 메타콩즈코인 이더리움 재발행 소식에?↑,1
26,Bit코인 비트코인이더리움 급등CME 선물 프리미엄 상승에 기관들 낙관,1
27,비트코인 美 나스닥 하락에 휘청 이더리움리플 등도 약세,-1
28,오전 암호화폐 시세 비트코인 2900만원대이더리움 210만원대다른 코인 ,0
29,오후 암호화폐 시세 이더리움클래식↑다른 코인도 상승세,1
30,이더리움 네트워크 업그레이드에 들썩 가상자산시장 주도하나,0
31,27일 기준지난 24시간 거래량 순위 테더비트코인리플이더리움 順,0
32,이더리움 어디까지 갈까,0
33,가상화폐 시황 FOMC실적 경계 뉴욕증시 하락비트코인이더리움↓,-1
34,한달새 79 뛴 이더리움 랠리의 비결 이정훈의 코읽남,0
35,코인시황 비트코인 저가매수세에 소폭 상승이더리움 190만원대로↑,1
36,코인브리핑 머스크 손절 여파 비트코인 주춤 vs 이더리움 상승,-1
37,코인시황 비트코인 8 급등 2만2813달러 이더리움 15 폭등?리플 7 상승,1
38,이더리움 1주일만에 50 급등한 이유,1
39,비트코인 2820만원대 하락이더리움 192만원대,-1
40,비트코인 한때 2만4000달러 넘어이더리움 일주일새 50 상승,1
41,미 FOMC 앞두고 비트코인 주춤이더리움클래식 투자 등 호재에 상승세,1
42,나스닥 급반등 비트코인 다시 3000만원대 저울질이더리움클래식폴리곤 초,1
43,체이널리시스 이더리움 대항마 아직 없다,0
44,시세브리핑 자이언트스텝에 환호한 암호화폐비트코인 8 이더리움 15,1
45,비트코인 보합세이더리움클래식무비블록 오름세,1
46,가상화폐 시황 FOMC 앞둔 비트코인이더리움 급락도지코인 5↓,-1
47,비트코인 2900만원대리플이더리움 약세,-1
48,메타콩즈 코인 이더리움 기반으로 전환 예정,0
49,주간블록체인 KBW2022 이더리움 킬러체인 다 모여라 내가 왕이 될 상인가,0
50,이더리움클래식ETC 14 급등 불트랩2021년 5월과 유사 50 하락 주의,0
51,선물 상승 둔화 비트코인이더리움이더리움클래식 반등 도모FOMC 이후 단,1
52,비트코인이더리움 출렁 가상자산 등락 거듭하는 이유는,0
